
########## double lane (region-A budget 1e-15) ##########
--- band A1 (worst over orders) ---
  fp64                     abs 3.331e-16 (x=0.697257)  rel 1.729e-14  budget_ratio 3.331e-01
  fp32                     abs 1.722e-07 (x=1.06913)  rel 8.409e-06  budget_ratio 1.722e+08
  tf32                     abs 3.493e-04 (x=0)  rel 7.357e-02  budget_ratio 3.493e+11
  tf32x3                   abs 1.871e-07 (x=2.88199)  rel 2.071e-05  budget_ratio 1.871e+08
  bf16                     abs 2.096e-03 (x=5.94992)  rel 5.154e-01  budget_ratio 2.096e+12
  bf16x3                   abs 3.351e-06 (x=0.325386)  rel 6.987e-04  budget_ratio 3.351e+09
  bf16x6                   abs 1.972e-07 (x=0.278903)  rel 7.531e-06  budget_ratio 1.972e+08
  fp16                     abs 3.493e-04 (x=0)  rel 7.362e-02  budget_ratio 3.493e+11
  fp16acc16                abs 1.187e-03 (x=1.85935)  rel 7.362e-02  budget_ratio 1.187e+12
  tf32x5                   abs 1.871e-07 (x=2.88199)  rel 7.531e-06  budget_ratio 1.871e+08
  tf32x5_fp64acc           abs 2.935e-08 (x=5.06673)  rel 7.480e-06  budget_ratio 2.935e+07
  tf32x7                   abs 1.871e-07 (x=2.88199)  rel 7.531e-06  budget_ratio 1.871e+08
  tf32x7_fp64acc           abs 2.935e-08 (x=5.06673)  rel 7.480e-06  budget_ratio 2.935e+07
  tf32x3_fp64acc           abs 4.357e-08 (x=0)  rel 2.075e-05  budget_ratio 4.357e+07
  tf32_2part_fp64in_fp64acc abs 4.357e-08 (x=0)  rel 1.470e-05  budget_ratio 4.357e+07
  tf32_2part_fp64in_fp32acc abs 1.871e-07 (x=2.88199)  rel 1.489e-05  budget_ratio 1.871e+08
  tf32_3part_fp64in_fp64acc abs 1.024e-11 (x=0.0464838)  rel 2.144e-09  budget_ratio 1.024e+04
  tf32_3part_fp64in_fp32acc abs 1.871e-07 (x=2.88199)  rel 5.534e-07  budget_ratio 1.871e+08
  tf32_4part_fp64in_fp64acc abs 2.220e-15 (x=0.0929676)  rel 3.034e-13  budget_ratio 2.220e+00
  tf32_4part_fp64in_fp32acc abs 1.871e-07 (x=2.88199)  rel 5.534e-07  budget_ratio 1.871e+08
  tf32_5part_fp64in_fp64acc abs 6.661e-16 (x=1.06913)  rel 1.170e-14  budget_ratio 6.661e-01
  tf32_5part_fp64in_fp32acc abs 1.871e-07 (x=2.88199)  rel 5.534e-07  budget_ratio 1.871e+08
  tf32_6part_fp64in_fp64acc abs 6.661e-16 (x=1.06913)  rel 1.170e-14  budget_ratio 6.661e-01
  tf32_6part_fp64in_fp32acc abs 1.871e-07 (x=2.88199)  rel 5.534e-07  budget_ratio 1.871e+08
  coeffonly_tf32           abs 3.494e-04 (x=0)  rel 7.357e-02  budget_ratio 3.494e+11
  coeffonly_bf16           abs 2.096e-03 (x=5.94992)  rel 4.648e-01  budget_ratio 2.096e+12
  coeffonly_fp16           abs 3.493e-04 (x=0)  rel 7.362e-02  budget_ratio 3.493e+11
  coeffonly_fp32           abs 2.934e-08 (x=5.11322)  rel 7.480e-06  budget_ratio 2.934e+07
  fit-residual             abs 1.110e-16 (x=0.185935)  rel 2.310e-16  budget_ratio 1.110e-01
--- band A2 (worst over orders) ---
  fp64                     abs 1.665e-16 (x=5.94992)  rel 2.830e-13  budget_ratio 1.665e-01
  fp32                     abs 5.140e-08 (x=7.90224)  rel 7.124e-06  budget_ratio 5.140e+07
  tf32                     abs 4.437e-05 (x=5.94992)  rel 5.826e-02  budget_ratio 4.437e+10
  tf32x3                   abs 9.704e-08 (x=9.43621)  rel 1.708e-05  budget_ratio 9.704e+07
  bf16                     abs 5.669e-04 (x=11.8069)  rel 4.218e-01  budget_ratio 5.669e+11
  bf16x3                   abs 2.461e-07 (x=11.6674)  rel 6.438e-04  budget_ratio 2.461e+08
  bf16x6                   abs 9.919e-08 (x=6.27531)  rel 7.124e-06  budget_ratio 9.919e+07
  fp16                     abs 4.428e-05 (x=5.94992)  rel 4.289e-01  budget_ratio 4.428e+10
  fp16acc16                abs 3.851e-04 (x=8.83192)  rel 5.429e-01  budget_ratio 3.851e+11
  tf32x5                   abs 9.704e-08 (x=9.43621)  rel 7.124e-06  budget_ratio 9.704e+07
  tf32x5_fp64acc           abs 5.249e-09 (x=11.8998)  rel 7.197e-06  budget_ratio 5.249e+06
  tf32x7                   abs 9.704e-08 (x=9.43621)  rel 7.124e-06  budget_ratio 9.704e+07
  tf32x7_fp64acc           abs 5.249e-09 (x=11.8998)  rel 7.197e-06  budget_ratio 5.249e+06
  tf32x3_fp64acc           abs 7.705e-09 (x=5.94992)  rel 1.713e-05  budget_ratio 7.705e+06
  tf32_2part_fp64in_fp64acc abs 7.705e-09 (x=5.94992)  rel 1.164e-05  budget_ratio 7.705e+06
  tf32_2part_fp64in_fp32acc abs 9.704e-08 (x=9.43621)  rel 1.172e-05  budget_ratio 9.704e+07
  tf32_3part_fp64in_fp64acc abs 1.926e-12 (x=11.8998)  rel 2.786e-09  budget_ratio 1.926e+03
  tf32_3part_fp64in_fp32acc abs 9.704e-08 (x=9.43621)  rel 4.895e-07  budget_ratio 9.704e+07
  tf32_4part_fp64in_fp64acc abs 6.661e-16 (x=6.74015)  rel 7.290e-13  budget_ratio 6.661e-01
  tf32_4part_fp64in_fp32acc abs 9.704e-08 (x=9.43621)  rel 4.895e-07  budget_ratio 9.704e+07
  tf32_5part_fp64in_fp64acc abs 2.776e-16 (x=6.6007)  rel 2.830e-13  budget_ratio 2.776e-01
  tf32_5part_fp64in_fp32acc abs 9.704e-08 (x=9.43621)  rel 4.895e-07  budget_ratio 9.704e+07
  tf32_6part_fp64in_fp64acc abs 2.776e-16 (x=6.6007)  rel 2.830e-13  budget_ratio 2.776e-01
  tf32_6part_fp64in_fp32acc abs 9.704e-08 (x=9.43621)  rel 4.895e-07  budget_ratio 9.704e+07
  coeffonly_tf32           abs 4.434e-05 (x=5.94992)  rel 5.826e-02  budget_ratio 4.434e+10
  coeffonly_bf16           abs 5.572e-04 (x=11.8998)  rel 3.670e-01  budget_ratio 5.572e+11
  coeffonly_fp16           abs 4.428e-05 (x=5.94992)  rel 4.289e-01  budget_ratio 4.428e+10
  coeffonly_fp32           abs 5.249e-09 (x=11.8998)  rel 7.197e-06  budget_ratio 5.249e+06
  fit-residual             abs 5.551e-17 (x=6.08938)  rel 4.080e-15  budget_ratio 5.551e-02

########## float lane (region-A budget 1.5e-07) ##########
--- band A1 (worst over orders) ---
  fp64                     abs 3.743e-08 (x=5.48509)  rel 4.821e-05  budget_ratio 2.496e-01
  fp32                     abs 1.694e-07 (x=1.06913)  rel 4.809e-05  budget_ratio 1.129e+00
  tf32                     abs 3.493e-04 (x=0)  rel 7.353e-02  budget_ratio 2.329e+03
  tf32x3                   abs 1.839e-07 (x=2.88199)  rel 5.746e-05  budget_ratio 1.226e+00
  bf16                     abs 2.096e-03 (x=5.94992)  rel 5.155e-01  budget_ratio 1.398e+04
  bf16x3                   abs 3.350e-06 (x=0.325386)  rel 7.444e-04  budget_ratio 2.233e+01
  bf16x6                   abs 1.961e-07 (x=0.278903)  rel 4.824e-05  budget_ratio 1.307e+00
  fp16                     abs 3.493e-04 (x=0)  rel 7.362e-02  budget_ratio 2.329e+03
  fp16acc16                abs 1.187e-03 (x=1.85935)  rel 7.362e-02  budget_ratio 7.913e+03
  tf32x5                   abs 1.839e-07 (x=2.88199)  rel 4.804e-05  budget_ratio 1.226e+00
  tf32x5_fp64acc           abs 3.743e-08 (x=5.48509)  rel 4.821e-05  budget_ratio 2.495e-01
  tf32x7                   abs 1.839e-07 (x=2.88199)  rel 4.804e-05  budget_ratio 1.226e+00
  tf32x7_fp64acc           abs 3.743e-08 (x=5.48509)  rel 4.821e-05  budget_ratio 2.495e-01
  tf32x3_fp64acc           abs 5.728e-08 (x=0.0929676)  rel 5.749e-05  budget_ratio 3.819e-01
  tf32_2part_fp64in_fp64acc abs 5.728e-08 (x=0.0929676)  rel 5.749e-05  budget_ratio 3.819e-01
  tf32_2part_fp64in_fp32acc abs 1.839e-07 (x=2.88199)  rel 5.746e-05  budget_ratio 1.226e+00
  tf32_3part_fp64in_fp64acc abs 3.743e-08 (x=5.48509)  rel 4.821e-05  budget_ratio 2.496e-01
  tf32_3part_fp64in_fp32acc abs 1.839e-07 (x=2.88199)  rel 4.804e-05  budget_ratio 1.226e+00
  tf32_4part_fp64in_fp64acc abs 3.743e-08 (x=5.48509)  rel 4.821e-05  budget_ratio 2.496e-01
  tf32_4part_fp64in_fp32acc abs 1.839e-07 (x=2.88199)  rel 4.804e-05  budget_ratio 1.226e+00
  tf32_5part_fp64in_fp64acc abs 3.743e-08 (x=5.48509)  rel 4.821e-05  budget_ratio 2.496e-01
  tf32_5part_fp64in_fp32acc abs 1.839e-07 (x=2.88199)  rel 4.804e-05  budget_ratio 1.226e+00
  tf32_6part_fp64in_fp64acc abs 3.743e-08 (x=5.48509)  rel 4.821e-05  budget_ratio 2.496e-01
  tf32_6part_fp64in_fp32acc abs 1.839e-07 (x=2.88199)  rel 4.804e-05  budget_ratio 1.226e+00
  coeffonly_tf32           abs 3.494e-04 (x=0)  rel 7.353e-02  budget_ratio 2.329e+03
  coeffonly_bf16           abs 2.096e-03 (x=5.94992)  rel 4.647e-01  budget_ratio 1.398e+04
  coeffonly_fp16           abs 3.493e-04 (x=0)  rel 7.362e-02  budget_ratio 2.329e+03
  coeffonly_fp32           abs 3.743e-08 (x=5.48509)  rel 4.821e-05  budget_ratio 2.496e-01
  fit-residual             abs 2.604e-08 (x=1.02264)  rel 5.929e-07  budget_ratio 1.736e-01
--- band A2 (worst over orders) ---
  fp64                     abs 3.497e-09 (x=11.8998)  rel 4.879e-05  budget_ratio 2.331e-02
  fp32                     abs 5.362e-08 (x=7.90224)  rel 4.872e-05  budget_ratio 3.575e-01
  tf32                     abs 4.437e-05 (x=5.94992)  rel 5.743e-02  budget_ratio 2.958e+02
  tf32x3                   abs 9.500e-08 (x=9.43621)  rel 5.921e-05  budget_ratio 6.334e-01
  bf16                     abs 5.669e-04 (x=11.8069)  rel 4.218e-01  budget_ratio 3.779e+03
  bf16x3                   abs 2.479e-07 (x=11.6674)  rel 6.711e-04  budget_ratio 1.653e+00
  bf16x6                   abs 9.671e-08 (x=6.27531)  rel 4.881e-05  budget_ratio 6.448e-01
  fp16                     abs 4.428e-05 (x=5.94992)  rel 4.289e-01  budget_ratio 2.952e+02
  fp16acc16                abs 3.851e-04 (x=8.83192)  rel 5.429e-01  budget_ratio 2.568e+03
  tf32x5                   abs 9.500e-08 (x=9.43621)  rel 4.872e-05  budget_ratio 6.334e-01
  tf32x5_fp64acc           abs 3.497e-09 (x=11.8998)  rel 4.879e-05  budget_ratio 2.331e-02
  tf32x7                   abs 9.500e-08 (x=9.43621)  rel 4.872e-05  budget_ratio 6.334e-01
  tf32x7_fp64acc           abs 3.497e-09 (x=11.8998)  rel 4.879e-05  budget_ratio 2.331e-02
  tf32x3_fp64acc           abs 5.141e-09 (x=5.99641)  rel 5.921e-05  budget_ratio 3.427e-02
  tf32_2part_fp64in_fp64acc abs 5.141e-09 (x=5.99641)  rel 5.921e-05  budget_ratio 3.427e-02
  tf32_2part_fp64in_fp32acc abs 9.500e-08 (x=9.43621)  rel 5.921e-05  budget_ratio 6.334e-01
  tf32_3part_fp64in_fp64acc abs 3.497e-09 (x=11.8998)  rel 4.879e-05  budget_ratio 2.331e-02
